"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1. Floresta","2795826.529010428","2712793.4425104293","2671310.9921965157","2655650.431769567","2615941.753910834","2598394.1554594617","2565044.6650876477","2557085.7685846225","2555617.8420722648","2551474.3951728065","2537564.1318437965","2531048.8059142954","2522270.116344814","2514659.5561556756","2471110.2036525533","2462333.8913384574","2454551.5462176576","2450867.870875893","2450688.522153894","2446758.6223946954","2444293.0398089746","2469192.5605749297","2511894.0972141605","2542734.163369757","2578871.044919288","2622596.8409372293","2638628.8031577826","2637189.3396103187","2633203.17511923","2627797.7974496773","2630904.9975180184","2646408.947299105","2677489.0499762874","2690398.5270553743","2681786.758214271","2719983.4459823384","2725849.6736175907"
"1.1. Formação Florestal","2730836.2965677823","2658895.2295308392","2618741.5262940982","2603348.229412035","2562620.967722388","2545840.513225032","2513482.928588942","2506028.2283265535","2504490.6234592274","2500750.9012219273","2488392.1291603064","2482844.0177702527","2475306.514240346","2468462.2268555905","2423517.6938717854","2413136.3560716053","2403706.7470022948","2399325.020565737","2398299.3959957883","2393544.041515142","2389560.430126143","2412463.6239452544","2451152.1584171513","2479515.0356721496","2515856.766126886","2558249.270946012","2576152.8829217716","2574399.198695035","2568287.922935703","2558493.604585852","2556679.532316998","2568212.5766758556","2596163.3033025623","2607486.1582203945","2599554.067149787","2638716.8217273457","2644188.0370092653"
"1.2. Formação Savânica","55714.4879161014","45455.30889843174","45147.315898907706","45365.92416068727","46802.37704570926","46129.47831643668","45260.74745385133","44465.52709683864","44309.249180725375","43677.2701797426","42240.25351109022","41515.634196050945","40535.365363146906","40054.16188308703","41657.82702209475","43308.04032297974","45017.02222092896","45696.51143112773","46364.67580067143","47117.36989527606","48582.40449411632","50538.641121350294","54542.263948059226","57105.55438247108","56911.01541560686","58333.238400226204","56501.85736414838","56957.948493237665","59106.66025172179","63568.01624003969","68608.14449425139","72784.33571681002","75982.7395096687","77472.88284897502","76657.64901232367","75563.42985172162","75262.7657981386"
"1.3. Mangue","588.0912949584965","581.1495660949745","578.5252003295939","563.6236689880435","456.87638688352763","442.90785407102777","537.9699741882354","637.0126857971156","664.609177062987","692.8811555969309","705.0696606018162","708.7942931823809","701.5140558227629","653.8530746459934","670.3551436584547","709.2081136535733","724.3600504577696","738.4112185607951","742.9824947448759","757.5415727661134","776.2488773132334","792.2479456481948","795.8881164123558","767.8699912109354","749.0787878784168","735.1979901794447","741.5462931396488","752.1264986206044","739.0915987976084","703.032392797858","586.3062838195875","485.65472751463705","455.85578295897056","453.99367816160765","463.38807559813296","462.795724176014","568.4410047485409"
"1.4. Restinga Arborizada (beta)","8687.653231585722","7861.754515063487","6843.62480317997","6372.654527856467","6061.532755853288","5981.256063922127","5763.019070666507","5955.00047543335","6153.360255249024","6353.342615539556","6226.679511798097","5980.35965480957","5726.722685498049","5489.314342352313","5264.327615014676","5180.286830218533","5103.416943975862","5107.9276604675615","5281.467862689235","5339.669411511259","5373.956311401404","5398.047562677041","5403.786732537874","5345.703323925815","5354.1845889160495","5279.1336008118","5232.5165787231745","5080.065923425328","5069.500333007845","5033.144230987584","5031.014422949262","4926.3801789246","4887.15138109745","4985.492307843058","5111.653976562542","5240.398679095493","5830.42980543829"
"2. Formação Natural não Florestal","198386.0618110816","184199.40240879203","175047.42075592832","173086.4591713211","170484.57724916542","168250.86061019462","167637.7981752092","167373.91792013755","168662.39014582135","171491.9068572284","170529.3061292131","170187.5418725177","169868.3551173964","169265.15441841583","171444.5401179518","172838.86609406292","173082.37180811932","172443.5957621474","171504.59616007816","175711.89231388725","175990.7804921773","178513.56002214624","180920.15478967538","181565.11666826432","181203.60626039043","177164.1655176164","172844.70300420723","170212.84571664006","168841.01706116498","170246.02860704527","171497.21600004437","172628.78957079654","173895.04916569396","176315.18563054994","177627.39878676317","182972.72469486314","198414.3608379243"
"2.1. Campo Alagado e Área Pantanosa","46792.691112465","37413.22311583965","30611.454592248516","28139.804193688837","25874.46375193464","23186.823620867723","23047.25818899526","23286.145101464797","24390.932588916017","26070.81668690186","25799.76965334491","24438.20325703748","23622.257278472956","21801.98907257696","19923.688245520145","19421.613770861866","18634.955949011237","18762.4509117857","20934.539510162253","24306.82742214387","25146.54604079632","27360.355120264798","28406.750084693573","27783.04498505355","26749.626958508954","23607.910081567414","20305.569267065504","18290.310502264263","16582.467746374554","16282.659082708848","15906.01206563714","15518.505493292281","15473.3005807801","17018.662064739892","18399.61357496319","21591.575295068327","32835.88057267542"
"2.2. Formação Campestre","24305.33633921531","23269.201053815043","22782.867769507116","22837.287890991494","22522.23733192155","22513.901712878585","22691.584169964775","22889.855050653357","23430.06945052509","23869.7139076052","23499.78965590831","23388.22817308978","22944.39888202524","23169.2817988283","23690.84793521119","24187.061846636843","24626.31662028804","24739.212532287554","24466.551462811254","24582.57077385256","24339.787851202283","24113.295955395337","24370.85078233016","24714.149935961977","24777.99798295293","25088.60581458154","25321.815291870174","25548.285673559614","25814.62921899398","26068.909965539347","26167.55759653899","26302.07938514377","26458.480284521083","26936.852662499645","26925.85772567711","27174.648816466943","28614.827065234065"
"2.3. Apicum","51.79889142456048","55.01497885131822","55.09962453002915","62.04085482788062","68.30493307495098","67.45900859985322","62.71897962036118","58.740410321044735","57.470640393066255","57.63938260498031","57.04662320556625","59.41675897827123","62.548103436279156","65.59482987670884","71.68918966674799","69.65777689208976","63.224529693603436","60.93937514648431","58.82274624023432","57.468092272949164","56.45245682983392","54.84412772827142","54.336381573486214","54.421219750976405","56.029392614746","57.637474157714784","61.70007038574212","60.51590035400387","57.89270338745109","59.75538934936512","62.63317469482421","74.82248170776367","78.71633516845704","75.41570186767585","74.56937984008792","74.7387174499512","73.89229954833986"
"2.4. Afloramento Rochoso","106671.0312183307","105552.88564633965","105724.00390359055","106120.03562365269","105302.11441702452","105313.50934444774","104653.14606099414","104201.078775777","103770.10712336017","104841.0512331865","104937.66346261746","106172.57151472937","106817.03530174698","107382.9790667495","109840.4841722121","110438.21260575125","110742.5238867753","110595.65742440351","108448.44865660561","109568.54294152989","109497.92507176698","109910.48688945496","110738.92369503953","111303.23352544106","112239.63403918623","111900.81801775054","111043.98533008607","110493.6232944539","110278.59729511915","111050.3429671955","112394.41197502651","113192.0126355064","114097.98573538441","114504.01204857435","113999.2246897485","114959.30817687656","116407.46878343173"
