ANO;VAZAO;Q_num;AMPLITUDE;LAMINA_AGUA_KM2;FORMACAO_FLORESTAL_KM2
1985;Qmax;161,252;161,2956;1,247302424;111,2127153
1986;Qmax;91,2225;91,2108;1,266024373;111,2643024
1987;Qmax;81,2709;81,2916;1,292564337;101,2293591
1988;Qmax;51,277;51,2515;1,281071487;101,2550459
1989;Qmax;1,2947;1,2125;1,22082144;91,29646859
1991;Qmax;51,2748;51,2005;1,297655638;81,27438204
1992;Qmax;71,242;71,2525;1,292888842;71,26183358
1993;Qmax;51,2454;51,2454;1,255035061;81,25123216
1994;Qmax;101,238;91,2476;1,204793417;81,26864005
1995;Qmax;71,2696;71,2897;1,232622995;81,23591846
1996;Qmax;111,294;111,2835;1,239332958;81,23575572
1997;Qmax;141,227;141,2022;1,279809732;81,23691635
1998;Qmax;51,2614;51,2034;1,234544146;81,28755589
1999;Qmax;261,229;261,2777;1,275874997;81,27894405
2000;Qmax;41,2878;41,2549;1,256591011;81,2997211
2001;Qmax;41,2353;41,2545;1,210155528;81,26870257
2002;Qmax;101,243;101,2173;1,266261528;81,22019896
2003;Qmax;271,277;261,2225;1,269061336;81,26216624
2004;Qmax;131,246;131,2417;1,213878375;81,27771764
2005;Qmax;91,2785;91,2941;1,240514444;81,20888676
2006;Qmax;101,238;91,2615;1,208520434;91,28879114
2007;Qmax;91,2885;91,2022;1,211527156;91,26144138
2008;Qmax;101,228;91,2472;1,200651518;91,29839503
2009;Qmax;201,298;201,2941;1,265289532;91,22337546
2010;Qmax;271,286;271,2652;1,282332521;91,21780657
2011;Qmax;71,2168;71,2481;1,253186373;91,20959611
2012;Qmax;171,2;171,2671;1,247580956;91,22378934
2013;Qmax;161,217;161,2181;1,290287102;91,24259495
2014;Qmax;81,2024;81,2511;1,255500637;91,28685931
2015;Qmax;61,224;61,2146;1,248224376;91,28019616
2016;Qmax;61,224;61,2146;1,20189789;91,21124975
2017;Qmax;61,224;61,2795;1,260530276;101,2969243
2018;Qmax;141,263;141,2947;1,231368213;101,2853168
2019;Qmax;61,2278;61,233;1,266706471;101,2989705
2020;Qmax;221,216;221,2576;1,24232126;111,2000871
2021;Qmax;121,293;121,2687;1,227507063;101,2146571
1985;Qmin;1,2564;161,2956;1,247302424;111,2127153
1986;Qmin;1,2117;91,2108;1,266024373;111,2643024
1987;Qmin;1,2793;81,2916;1,292564337;101,2293591
1988;Qmin;1,2255;51,2515;1,281071487;101,2550459
1989;Qmin;1,2822;1,2125;1,22082144;91,29646859
1991;Qmin;1,2743;51,2005;1,297655638;81,27438204
1992;Qmin;1,2895;71,2525;1,292888842;71,26183358
1993;Qmin;1,2;51,2454;1,255035061;81,25123216
1994;Qmin;1,2904;91,2476;1,204793417;81,26864005
1995;Qmin;1,2799;71,2897;1,232622995;81,23591846
1996;Qmin;1,2105;111,2835;1,239332958;81,23575572
1997;Qmin;1,2248;141,2022;1,279809732;81,23691635
1998;Qmin;1,258;51,2034;1,234544146;81,28755589
1999;Qmin;1,2513;261,2777;1,275874997;81,27894405
2000;Qmin;1,2329;41,2549;1,256591011;81,2997211
2001;Qmin;1,2808;41,2545;1,210155528;81,26870257
2002;Qmin;1,2257;101,2173;1,266261528;81,22019896
2003;Qmin;1,2545;261,2225;1,269061336;81,26216624
2004;Qmin;1,2043;131,2417;1,213878375;81,27771764
2005;Qmin;1,2844;91,2941;1,240514444;81,20888676
2006;Qmin;1,2765;91,2615;1,208520434;91,28879114
2007;Qmin;1,2863;91,2022;1,211527156;91,26144138
2008;Qmin;1,2808;91,2472;1,200651518;91,29839503
2009;Qmin;1,2039;201,2941;1,265289532;91,22337546
2010;Qmin;1,2208;271,2652;1,282332521;91,21780657
2011;Qmin;1,2687;71,2481;1,253186373;91,20959611
2012;Qmin;1,2329;171,2671;1,247580956;91,22378934
2013;Qmin;1,2989;161,2181;1,290287102;91,24259495
2014;Qmin;1,2513;81,2511;1,255500637;91,28685931
2015;Qmin;1,2094;61,2146;1,248224376;91,28019616
2016;Qmin;1,2094;61,2146;1,20189789;91,21124975
2017;Qmin;1,2445;61,2795;1,260530276;101,2969243
2018;Qmin;1,2683;141,2947;1,231368213;101,2853168
2019;Qmin;1,2948;61,233;1,266706471;101,2989705
2020;Qmin;1,2584;221,2576;1,24232126;111,2000871
2021;Qmin;1,2243;121,2687;1,227507063;101,2146571
