system:index,area,band,class,class_name,.geo
0_0_0,0.05997663812255859,classification_1985,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,27220.817292991465,classification_1985,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,550.7355719019121,classification_1985,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,5.775920266235277,classification_1985,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,493.7654599491445,classification_1985,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,467.4966369761459,classification_1985,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,230.98121956006162,classification_1985,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,4.369364849487296,classification_1985,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,42892.714059195394,classification_1985,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.005912499572753907,classification_1985,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,11769.842906033859,classification_1985,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,31.056648423224132,classification_1985,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,165.4169706243886,classification_1985,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,267.987737790965,classification_1985,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,1024.2712605722047,classification_1985,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,59.76866709686252,classification_1985,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,0.5179889142456049,classification_1985,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,736.5660521048692,classification_1985,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,89.64287357360944,classification_1985,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,514.0785520275821,classification_1985,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,0.06661017608642576,classification_1985,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,1.0608333526611329,classification_1985,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,86.905287953798,classification_1985,49,Wooded Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,201.77560428667812,classification_1985,50,Herbaceous Sandbank Vegetation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,0.05491207452392577,classification_1986,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,26501.564248952258,classification_1986,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,448.0867956552713,classification_1986,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,5.705656279724057,classification_1986,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,547.0175246009301,classification_1986,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,373.4411805100158,classification_1986,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,220.12446432519891,classification_1986,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,2.9916471336059605,classification_1986,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,43519.743543431534,classification_1986,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,0.005912499572753907,classification_1986,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,12119.634085719515,classification_1986,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,36.812111276732836,classification_1986,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,183.11323995446668,classification_1986,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,143.71252879347395,classification_1986,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,1013.0704099244988,classification_1986,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_15,64.78970473748673,classification_1986,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
